voltage,current,pir,vibration,risk
22.5,0.5,0,146,0
23.2,0.7,1,133,0
22.2,0.7,0,182,0
23.3,0.8,0,319,0
23.5,0.4,1,122,0
23.8,0.5,0,340,0
22.7,0.8,0,122,0
22.7,0.5,1,286,0
22.2,0.5,1,225,0
22.5,0.5,1,314,0
23.6,0.5,1,344,0
22.4,0.6,0,181,0
23.2,0.5,1,193,0
22.4,0.4,1,256,0
22.5,0.4,0,227,0
23.4,0.7,0,293,0
23.4,0.5,0,342,0
23.2,0.7,0,338,0
22.1,0.6,0,292,0
23.8,0.6,0,343,0
22.1,0.7,1,329,0
22.7,0.8,1,220,0
22.3,0.4,0,319,0
22.7,0.7,1,204,0
22.1,0.5,0,317,0
22.7,0.8,1,289,0
22.8,0.4,1,244,0
22.2,0.4,1,328,0
22.6,0.4,0,289,0
23.5,0.5,0,111,0
22.6,0.7,1,256,0
23.2,0.7,0,333,0
22.9,0.5,0,205,0
23.7,0.7,1,266,0
23.8,0.5,0,338,0
23.5,0.5,1,237,0
22.6,0.5,0,152,0
23.9,0.5,0,232,0
23.4,0.8,1,213,0
23.1,0.6,0,293,0
23.4,0.4,1,122,0
22.3,0.8,0,285,0
23.6,0.5,0,263,0
22.9,0.4,0,186,0
23.1,0.8,1,296,0
22.4,0.6,1,346,0
23.4,0.8,1,226,0
23.2,0.4,0,175,0
23.3,0.5,0,183,0
23.7,0.6,0,200,0
23.6,0.7,1,250,0
22.7,0.6,0,312,0
23.0,0.6,1,139,0
23.2,0.5,1,215,0
22.4,0.5,0,130,0
23.0,0.5,0,154,0
22.8,0.6,0,171,0
23.6,0.7,1,168,0
23.5,0.5,0,268,0
22.2,0.6,0,318,0
22.1,0.5,1,147,0
23.9,0.4,0,232,0
24.0,0.7,0,182,0
22.9,0.7,0,343,0
23.2,0.6,1,272,0
22.8,0.8,0,203,0
24.0,0.7,1,308,0
22.2,0.5,0,346,0
22.5,0.6,0,124,0
23.7,0.5,1,301,0
23.7,0.5,0,210,0
22.5,0.8,0,138,0
22.4,0.4,1,303,0
22.1,0.8,0,331,0
22.3,0.4,0,163,0
23.2,0.7,0,152,0
23.9,0.5,1,253,0
22.6,0.5,1,240,0
23.1,0.5,0,176,0
23.8,0.5,1,184,0
23.7,0.5,0,285,0
23.6,0.7,0,199,0
22.9,0.5,1,195,0
23.9,0.5,0,323,0
22.5,0.7,0,252,0
23.4,0.4,0,159,0
23.8,0.5,0,270,0
22.5,0.7,0,187,0
22.4,0.8,1,197,0
22.8,0.8,1,253,0
22.5,0.5,1,325,0
23.2,0.6,1,349,0
22.9,0.6,0,218,0
24.0,0.5,1,263,0
23.0,0.7,0,148,0
23.3,0.6,0,179,0
23.8,0.7,1,290,0
23.2,0.8,1,183,0
22.8,0.5,1,126,0
22.3,0.4,0,319,0
